pH_level,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn,Akermanite,Albite,Aluminium oxide hydroxide,Anhydrite,Aragonite,Biotite,Birnessite,Calcite,Clinochlore,Cuspidine,Diaspore,Dickite,Gehlenite,Goethite,Haematite,Illite,Kaolinite,Langite,Linnaeite,Magnesioferrite,Melilite,Merwinite,Microcline,Mullite,Muscovite,Orthoclase,Orthopyroxene,Periclase,Phengite,Pseudowollastonite,Quartz,Staurolite,Valentinite
6.07,179027.5746,88649.43233,18534.77589,4431.082753,4522.769226,667.6712037,15274.7191,82.1042908,4015.597415,387.2287397,1099.857968,169.1189102,358.2605474,37.9,0.15,8,10,1.4,1.5,0.25,20,51,5,0.5,10,10,1,29,42,800,1.5,2,10,5,5,11,5,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6.403,226705.9365,83621.55408,34901.33272,2429.948607,3377.001022,519.2998251,18097.22154,75.26226656,5454.020369,1006.794723,999.8708801,84.55945508,447.8256843,24.5,0.15,5,5,1.1,1.5,0.25,28,44,5,0.5,20,5,1,31,50,800,1.5,3,10,5,5,8,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7.073,201464.4508,93941.93576,28116.90532,4002.268293,4703.679995,741.856893,16685.97032,88.94631503,4614.940312,929.3489753,1199.845056,84.55945508,358.2605474,30.4,0.15,3,5,1.4,1.5,0.25,23,48,5,0.5,10,10,0.5,32,51,600,1.5,3,10,5,5,15,5,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6.62,189311.1428,84680.05477,38468.4028,3716.391987,4341.858457,593.4855144,15191.70432,82.1042908,4375.203153,697.0117315,1499.80632,84.55945508,358.2605474,32.4,0.15,8,10,1.4,1.5,0.25,24,44,5,0.5,10,10,1,35,45,900,1.5,4,10,5,5,18,5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6.633,173418.3555,85738.55545,18115.12059,4145.206447,4281.554867,667.6712037,15772.80776,75.26226656,3955.663125,387.2287397,1399.819232,169.1189102,358.2605474,39.5,0.2,5,10,1.6,1.5,0.25,31,65,5,0.5,10,10,1,35,69,800,1.5,2,10,5,5,10,5,54,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
