pH,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn,Akermanite,Albite,Aluminium oxide hydroxide,Anhydrite,Aragonite,Biotite,Birnessite,Calcite,Clinochlore,Cuspidine,Diaspore,Dickite,Gehlenite,Goethite,Haematite,Illite,Kaolinite,Langite,Linnaeite,Magnesioferrite,Melilite,Merwinite,Microcline,Mullite,Muscovite,Orthoclase,Orthopyroxene,Periclase,Phengite,Pseudowollastonite,Quartz,Staurolite,Valentinite
8.048,330943.9238,55835.91111,31054.49244,18296.08363,1266.375383,1261.156718,14776.63043,61.5782181,3416.254517,1394.023463,899.8837921,42.27972754,806.0862317,6.58,0.2,4,5,0.25,1.5,0.7,8,30,5,0.5,10,5,0.5,24,28,300,1.5,4,10,5,5,13,5,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8.075,224368.7619,69067.16967,28396.67552,64393.63808,4221.251278,4970.441183,10459.86199,102.6303635,4674.874602,774.4574794,1599.793408,84.55945508,626.955958,21,0.3,9,10,1.4,1.5,0.8,14,86,10,0.5,10,20,1,35,96,500,1.5,4,10,5,5,40,5,337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7.024,272514.5587,60863.78936,28886.27338,8218.943817,4040.340509,5489.741008,11622.06888,95.78833926,4495.071733,929.3489753,2299.703024,84.55945508,537.3908212,22.8,0.15,8,10,1,1.5,0.25,13,35,5,0.5,10,10,1,28,66,800,2,3,10,5,5,37,5,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5.474,255686.9016,58217.53765,35460.87313,5288.711674,4341.858457,8160.425823,9048.610769,102.6303635,5334.15179,1006.794723,1899.754672,84.55945508,358.2605474,24.7,0.2,9,5,0.7,1.5,0.25,13,21,10,0.5,10,20,1,23,66,700,1.5,1,10,5,5,51,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.222,150514.0444,44457.02875,21682.19067,101486.0889,3377.001022,3635.098776,6475.15266,75.26226656,3655.991676,464.6744876,4199.457696,169.1189102,268.6954106,39,0.3,7,10,1.9,1.5,1.5,13,74,5,0.5,10,10,1,77,133,1200,1.5,1,10,5,5,33,5,342,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
